Создание отчета на преднастроенной витрине данных	https://help.krista.ru/kb/3945
Создание ETL сценария	https://help.krista.ru/kb/3963
Создание информационной панели	https://help.krista.ru/kb/3986
Настройка презентационной модели данных	https://help.krista.ru/kb/3991
Размещение отчетов в рубрикаторы	https://help.krista.ru/kb/4021
Создание и базовая настройка виджета	https://help.krista.ru/kb/4028
Начало работы с вычислениями	https://help.krista.ru/kb/4035
Концепции анализа данных в Криста BI	https://help.krista.ru/kb/4048
Иконки в платформе Криста BI	https://help.krista.ru/kb/4064
Перечень функций по категориям	https://help.krista.ru/kb/4217
Использование ссылок в отчетах	https://help.krista.ru/kb/4090
Типы макетов отчета	https://help.krista.ru/kb/4102
Сортировка данных	https://help.krista.ru/kb/4164
Фильтрация данных	https://help.krista.ru/kb/4170
Иерархии и группировки	https://help.krista.ru/kb/4189
Переход в конструктор данных и его интерфейс	https://help.krista.ru/kb/4212
Построение таблицы в конструкторе данных	https://help.krista.ru/kb/4216
Дискретные и непрерывные даты	https://help.krista.ru/kb/4220
Итоги и агрегации в таблицах	https://help.krista.ru/kb/4243
Основы создания моделей данных	https://help.krista.ru/kb/4666
Что нового в Криста BI	https://help.krista.ru/kb/4664
